course_id,course_title1111,youtube_video_link,creator_name,Channel Name,Likes,,,
1070968,Ultimate Investment Banking Course,https://www.youtube.com/watch?v=MMGHZ98086Y,Rajesh Kumar,Tech & Finance Simplified,43419,,,
1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.youtube.com/watch?v=UFV7O0VCP0X,Aisha Khan,Money Meets Code,82084,,,
1006314,Financial Modeling for Business Analysts and Consultants,https://www.youtube.com/watch?v=IACYI41I5NM,John Smith,BizTech Explained,24915,,,
1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.youtube.com/watch?v=I0JUCXVXQXA,Rajesh Kumar,Codeconomics,15335,,,
1011058,How To Maximize Your Profits Trading Options,https://www.youtube.com/watch?v=9TTGRA2BBE7,Sara Lee,Finovate Academy,93135,,,
192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.youtube.com/watch?v=G0S1I4H5IFJ,Sara Lee,Finovate Academy,36628,,,
739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.youtube.com/watch?v=XBHJH4M3PZY,Aisha Khan,Codeconomics,45802,,,
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.youtube.com/watch?v=4PPC92QE3HP,Carlos Rivera,Money Meets Code,54096,,,
476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.youtube.com/watch?v=SSCZPHZEBO4,Aisha Khan,Crypto & Capital,69575,,,
1167710,The Only Investment Strategy You Need For Your Retirement,https://www.youtube.com/watch?v=IHKEI4H1Y8S,Aisha Khan,Crypto & Capital,20632,,,
592338,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.youtube.com/watch?v=SVY1UGJSNRW,Carlos Rivera,Tech & Finance Simplified,65273,,,
975046,Trading Options With Money Flow,https://www.youtube.com/watch?v=A95PT4QG6R7,Emily Davis,Tech & Finance Simplified,92872,,,
742602,Financial Management Risk and Return For Securities,https://www.youtube.com/watch?v=RPN30ZZ7IQU,Aisha Khan,Money Meets Code,74518,,,
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.youtube.com/watch?v=TN5AQMGLLMN,Sara Lee,BizTech Explained,1062,,,
1196544,Python Algo Trading: Sentiment Trading with News,https://www.youtube.com/watch?v=A9WGWL5GOJB,Carlos Rivera,Finovate Academy,69112,,,
504036,Short Selling: Learn To Sell Stocks Before The Fall,https://www.youtube.com/watch?v=DIWQYPXGJ1K,Aisha Khan,Smart Business Tutorials,58966,,,
719698,Basic Technical Analysis: Learn the structure of the market,https://www.youtube.com/watch?v=7M2LF6JMRHW,Rajesh Kumar,Crypto & Capital,73607,,,
564966,The Complete Chart Pattern Trading Course: A Proven Approach,https://www.youtube.com/watch?v=2RS44ZOLLHW,John Smith,Finovate Academy,93373,,,
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.youtube.com/watch?v=X51RJFFBXVT,Michael Chen,Money Meets Code,97090,,,
58977,Financial Statements Made Easy,https://www.youtube.com/watch?v=2WVD0L65EV6,Rajesh Kumar,Tech & Finance Simplified,81973,,,
1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.youtube.com/watch?v=ZP1VR2ROH9H,Emily Davis,Crypto & Capital,5627,,,
798740,Forex Traders - Create Your First Trading Robot. No Coding!,https://www.youtube.com/watch?v=F2NJPAXVYDD,Aisha Khan,Crypto & Capital,72768,,,
506568,Create A Business From Home Trading Stocks Today In 2017,https://www.youtube.com/watch?v=9CPILLOKPMA,Carlos Rivera,Money Meets Code,77341,,,
1020760,Introduction to Accounting : Mastering Financial Statements,https://www.youtube.com/watch?v=EQ4D79NKMR3,Sara Lee,Tech & Finance Simplified,89443,,,
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.youtube.com/watch?v=3DUCZ9NKKCR,Michael Chen,Codeconomics,43673,,,
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.youtube.com/watch?v=XCSSFAM6I04,Emily Davis,Tech & Finance Simplified,22765,,,
353044,Investing 101: The Complete Online Investing Course,https://www.youtube.com/watch?v=7NYUNRYX46J,Emily Davis,Crypto & Capital,32321,,,
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.youtube.com/watch?v=42D8EKF5SVI,Carlos Rivera,Smart Business Tutorials,40500,,,
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.youtube.com/watch?v=0V8FCFUEL5W,Michael Chen,Tech & Finance Simplified,80962,,,
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.youtube.com/watch?v=JLCJ929LIKG,Carlos Rivera,Finovate Academy,26320,,,
1170894,Python Algo Stock Trading: Automate Your Trading!,https://www.youtube.com/watch?v=ESWGH7B60LU,Aisha Khan,Money Meets Code,27451,,,
948974,THE Forex Robot: Incredible ROI (Robot Included),https://www.youtube.com/watch?v=WS420Q2KLFX,Aisha Khan,Smart Business Tutorials,88153,,,
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.youtube.com/watch?v=9SCXZWT0J6B,Sara Lee,Money Meets Code,23698,,,
1217778,Mastering High Probability Iron Condor Options Trading,https://www.youtube.com/watch?v=RAEV157R2D4,Sara Lee,Smart Business Tutorials,15640,,,
1246208,The Complete Short Course on Ethereum,https://www.youtube.com/watch?v=YJ3W9XYID67,Michael Chen,Finovate Academy,37649,,,
434774,Options Trading Stocks: Proven Toolbox For Financial Success,https://www.youtube.com/watch?v=IFJ5VI62SB3,Carlos Rivera,Money Meets Code,71127,,,
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,https://www.youtube.com/watch?v=5L5U4LI3274,Aisha Khan,Codeconomics,99431,,,
888716,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.youtube.com/watch?v=LT2MVG1Z9FK,Michael Chen,BizTech Explained,47508,,,
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.youtube.com/watch?v=U1V5NKW2R63,John Smith,Money Meets Code,13303,,,
965832,The Complete Investment Banking Course 2017,https://www.youtube.com/watch?v=TAP8UOHYGY2,John Smith,Codeconomics,81072,,,
648826,The Complete Financial Analyst Course 2017,https://www.youtube.com/watch?v=APKQ7ZQFZRK,Carlos Rivera,Money Meets Code,63393,,,
1035472,Python for Finance: Investment Fundamentals & Data Analytics,https://www.youtube.com/watch?v=SYMX426VXI5,Aisha Khan,Money Meets Code,49375,,,
1154754,Financial Modeling for Startups & Small Businesses,https://www.youtube.com/watch?v=E4Z2NE8MSMJ,Aisha Khan,Smart Business Tutorials,16953,,,
627540,Options Trading - How to Win with Weekly Options,https://www.youtube.com/watch?v=5ZP1HIU7I7R,Rajesh Kumar,Smart Business Tutorials,12463,,,
301442,Black Algo Trading: Build Your Trading Robot,https://www.youtube.com/watch?v=J59EDLGJ68E,Aisha Khan,BizTech Explained,84960,,,
640100,Accounting & Financial Statement Analysis: Complete Training,https://www.youtube.com/watch?v=9DSI816N2YG,Aisha Khan,BizTech Explained,23237,,,
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.youtube.com/watch?v=MYEH8P02AXH,John Smith,Finovate Academy,98979,,,
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.youtube.com/watch?v=V1DC7QJL6I3,Emily Davis,Smart Business Tutorials,58995,,,
1214702,Three Steps Trading - Live Trading - Real Account,https://www.youtube.com/watch?v=I6ETK6LAF15,Sara Lee,Crypto & Capital,21510,,,
848664,Option Trading for Rookies:  Understand Options Completely,https://www.youtube.com/watch?v=S6N7XANH4PI,Aisha Khan,Crypto & Capital,7862,,,
1142570,How I Learned Stock Trading (and How You Can Too),https://www.youtube.com/watch?v=DIBHMK4YAF5,Carlos Rivera,Smart Business Tutorials,82134,,,
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.youtube.com/watch?v=BJGQX4JBB0X,Sara Lee,Finovate Academy,26215,,,
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,https://www.youtube.com/watch?v=3VXN7OWON3G,Carlos Rivera,Money Meets Code,73890,,,
885974,Four Fundamentals of Financial Planning,https://www.youtube.com/watch?v=9JURRUB4I0D,Rajesh Kumar,Money Meets Code,68645,,,
1151092,Options Trading - Calendar Spread Course for Every Trader,https://www.youtube.com/watch?v=V1O9RVX6PRU,John Smith,Tech & Finance Simplified,31069,,,
358326,Dividend Investing: Build Your Portfolio for a Better Future,https://www.youtube.com/watch?v=W5FKZDDAAOL,Rajesh Kumar,Crypto & Capital,11909,,,
153210,Learn Accounting. Understand Business.,https://www.youtube.com/watch?v=O20XTC3SXSD,Emily Davis,Crypto & Capital,45730,,,
834836,How to Consistently Win Trading Stocks in 30 Days or Less,https://www.youtube.com/watch?v=LDEPAP4EHW1,Michael Chen,Tech & Finance Simplified,40541,,,
1171994,A Beginner's Guide to Quantopian Futures API,https://www.youtube.com/watch?v=SVVFZ25NCGZ,Aisha Khan,Money Meets Code,67288,,,
1239068,How to Buy Cheap Options - Options Trading Pricing Model,https://www.youtube.com/watch?v=MR809XH62YW,John Smith,Money Meets Code,88998,,,
985922,Excel Crash Course: Master Excel for Financial Analysis,https://www.youtube.com/watch?v=ZZ6TX3TVZHU,Rajesh Kumar,Smart Business Tutorials,94408,,,
765562,"Comprehensive Guide to Financial Markets, Investing &Trading",https://www.youtube.com/watch?v=OQE1NRHZ088,Aisha Khan,Crypto & Capital,60492,,,
165964,Stock Trading Ninja: Complete System For Trading Success,https://www.youtube.com/watch?v=BK2F9VNSXBQ,Carlos Rivera,Codeconomics,61829,,,
855172,Hedge and Mutual Fund Careers: The Complete Guide,https://www.youtube.com/watch?v=QF69ORTB3SQ,Emily Davis,Finovate Academy,93916,,,
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.youtube.com/watch?v=5FQBDAZ9FOZ,Emily Davis,Smart Business Tutorials,99064,,,
